file,people
Excersice/DataSets/PNGImages/FudanPed00001.png,2
Excersice/DataSets/PNGImages/FudanPed00002.png,2
Excersice/DataSets/PNGImages/FudanPed00003.png,2
Excersice/DataSets/PNGImages/FudanPed00004.png,2
Excersice/DataSets/PNGImages/FudanPed00005.png,2
Excersice/DataSets/PNGImages/FudanPed00006.png,4
Excersice/DataSets/PNGImages/FudanPed00007.png,4
Excersice/DataSets/PNGImages/FudanPed00008.png,3
Excersice/DataSets/PNGImages/FudanPed00009.png,2
Excersice/DataSets/PNGImages/FudanPed00010.png,2
Excersice/DataSets/PNGImages/FudanPed00011.png,1
Excersice/DataSets/PNGImages/FudanPed00012.png,2
Excersice/DataSets/PNGImages/FudanPed00013.png,1
Excersice/DataSets/PNGImages/FudanPed00014.png,2
Excersice/DataSets/PNGImages/FudanPed00015.png,1
Excersice/DataSets/PNGImages/FudanPed00016.png,5
Excersice/DataSets/PNGImages/FudanPed00017.png,2
Excersice/DataSets/PNGImages/FudanPed00018.png,1
Excersice/DataSets/PNGImages/FudanPed00019.png,2
Excersice/DataSets/PNGImages/FudanPed00020.png,1
Excersice/DataSets/PNGImages/FudanPed00021.png,2
Excersice/DataSets/PNGImages/FudanPed00022.png,4
Excersice/DataSets/PNGImages/FudanPed00023.png,1
Excersice/DataSets/PNGImages/FudanPed00024.png,1
Excersice/DataSets/PNGImages/FudanPed00025.png,5
Excersice/DataSets/PNGImages/FudanPed00026.png,2
Excersice/DataSets/PNGImages/FudanPed00027.png,1
Excersice/DataSets/PNGImages/FudanPed00028.png,2
Excersice/DataSets/PNGImages/FudanPed00029.png,2
Excersice/DataSets/PNGImages/FudanPed00030.png,1
Excersice/DataSets/PNGImages/FudanPed00031.png,1
Excersice/DataSets/PNGImages/FudanPed00032.png,1
Excersice/DataSets/PNGImages/FudanPed00033.png,2
Excersice/DataSets/PNGImages/FudanPed00034.png,1
Excersice/DataSets/PNGImages/FudanPed00035.png,1
Excersice/DataSets/PNGImages/FudanPed00036.png,4
Excersice/DataSets/PNGImages/FudanPed00037.png,1
Excersice/DataSets/PNGImages/FudanPed00038.png,1
Excersice/DataSets/PNGImages/FudanPed00039.png,2
Excersice/DataSets/PNGImages/FudanPed00040.png,2
Excersice/DataSets/PNGImages/FudanPed00041.png,4
Excersice/DataSets/PNGImages/FudanPed00042.png,4
Excersice/DataSets/PNGImages/FudanPed00043.png,6
Excersice/DataSets/PNGImages/FudanPed00044.png,5
Excersice/DataSets/PNGImages/FudanPed00045.png,4
Excersice/DataSets/PNGImages/FudanPed00046.png,6
Excersice/DataSets/PNGImages/FudanPed00047.png,6
Excersice/DataSets/PNGImages/FudanPed00048.png,5
Excersice/DataSets/PNGImages/FudanPed00049.png,3
Excersice/DataSets/PNGImages/FudanPed00050.png,2
Excersice/DataSets/PNGImages/FudanPed00051.png,1
Excersice/DataSets/PNGImages/FudanPed00052.png,1
Excersice/DataSets/PNGImages/FudanPed00053.png,2
Excersice/DataSets/PNGImages/FudanPed00054.png,3
Excersice/DataSets/PNGImages/FudanPed00055.png,1
Excersice/DataSets/PNGImages/FudanPed00056.png,3
Excersice/DataSets/PNGImages/FudanPed00057.png,5
